Year,Vulnerability Type,Count,Severity,CVSS Score,Exploitability Score,Affected Devices,Impact
2022,Comm  Injection,7,High,9.7,0.81,Storage,Remote code execution
2022,Cross  Site Request Forgery,38,High,4.3,0.55,Server,System takeover   Privilege escalation
2023,Buffer Overflow,27,Low,4.6,0.64,Database,System takeover   Privilege escalation
2023,Path Traversal,32,Low,9.0,0.93,API,Unauthorized access   Data loss
2022,Insufficient Logging   Monitoring,1,High,6.6,0.72,IoT Devices,Data exposure
2022,Privilege Escalation,10,Critical,6.2,0.92,IoT Devices,Remote code execution
2023,Buffer Overflow,4,Medium,5.2,0.56,Workstation,Data exposure
2022,Insufficient Logging   Monitoring,25,Medium,5.7,0.99,API,Detection delay   Long  term impact
2023,Comm  Injection,8,Low,9.3,0.64,Database,Detection delay   Long  term impact
2023,Information Disclosure,50,Medium,4.2,0.56,Database,Data exposure
2023,Directory Traversal,24,Low,8.6,0.58,Database,Data exposure
2023,Misconfiguration    Security Headers,34,Medium,9.3,0.58,Workstation,Data theft   Remote code execution
2022,Insufficient Logging   Monitoring,3,High,4.1,0.82,Workstation,Unauthorized access   Data loss
2021,Improper Input Validation,3,Low,5.0,0.92,Storage,Remote code execution
2021,Race Condition,49,Medium,7.3,0.55,Switch,Unauthorized access   System control
2023,Remote File Inclusion,19,Medium,4.1,0.93,Web Application,Session hijacking
2023,Race Condition,37,Critical,5.2,0.94,Storage,Sensitive data leak
2023,Server  Side Request Forgery,48,High,5.6,0.79,Server,Remote code execution
2023,Race Condition,48,High,8.7,0.89,API,System takeover   Privilege escalation
2021,Weak Cryptography,25,High,7.7,0.58,Database,Detection delay   Long  term impact
2022,Insufficient Logging   Monitoring,44,Low,7.8,0.81,Cameras,Detection delay   Long  term impact
2021,Weak Cryptography,15,Medium,5.4,0.97,Switch,Data exposure
2022,Remote File Inclusion,33,High,6.8,0.69,Cameras,Remote code execution
2021,SQL Injection,15,Critical,5.6,0.85,IoT Devices,Detection delay   Long  term impact
2022,Insufficient Logging   Monitoring,17,Medium,5.8,0.52,Switch,Data theft   Remote code execution
2023,Information Disclosure,28,Medium,4.7,0.64,Database,Data theft   Remote code execution
2021,Insecure Direct Object Reference,40,High,7.6,0.82,API,Data exposure
2022,Insufficient Logging   Monitoring,3,High,6.9,0.92,Cameras,Sensitive data leak
2021,Cross  Site Request Forgery,39,Critical,6.5,0.76,Server,System takeover   Privilege escalation
2023,Remote File Inclusion,18,Low,7.9,0.99,Server,System takeover   Privilege escalation
2021,Server  Side Request Forgery,1,Medium,4.5,0.93,Server,Detection delay   Long  term impact
2023,Path Traversal,50,Low,5.2,0.84,API,Data theft   Remote code execution
2022,Insecure Deserialization,47,Medium,9.2,0.69,API,System takeover   Privilege escalation
2021,Privilege Escalation,49,High,6.3,0.6,Server,Unauthorized access   Data loss
2021,Insecure Direct Object Reference,21,High,5.4,0.64,Server,Sensitive data leak
2023,Insufficient Logging   Monitoring,29,High,7.3,0.74,Cameras,Remote code execution
2021,Authentication Bypass,43,Low,8.5,0.65,Firmware,Remote code execution
2021,Path Traversal,35,High,4.1,0.52,Firmware,Unauthorized access   System control
2021,Insufficient Logging   Monitoring,9,High,9.1,0.65,API,Detection delay   Long  term impact
2021,Weak Cryptography,23,Medium,9.4,0.59,Server,Sensitive data leak
2021,Cross  Site Scripting,20,High,6.1,0.81,Router,Unauthorized access   Data loss
2021,Server  Side Request Forgery,1,High,5.8,0.57,Storage,Unauthorized access   System control
2021,Misconfiguration    Security Headers,31,Low,9.2,0.59,Switch,Session hijacking
2021,Privilege Escalation,48,High,6.9,0.87,Router,Data exposure
2022,XML External Entity (XXE),43,Low,4.7,0.87,Database,Unauthorized access   Data loss
2022,Misconfiguration    Security Headers,42,Medium,6.2,0.71,API,Detection delay   Long  term impact
2023,Server  Side Request Forgery,32,Low,7.7,0.87,Workstation,Sensitive data leak
2021,Path Traversal,47,High,6.5,0.81,Storage,Session hijacking
2021,Comm  Injection,44,High,5.4,0.77,Firmware,Detection delay   Long  term impact
2021,Insecure Deserialization,23,Critical,6.5,0.55,Router,Detection delay   Long  term impact
2022,Weak Cryptography,38,Critical,8.8,0.55,Switch,Unauthorized access   Data loss
2023,Misconfiguration    Security Headers,44,Critical,4.1,0.89,Router,Sensitive data leak
2023,Information Disclosure,40,Low,5.1,0.84,Cameras,Unauthorized access   Data loss
2021,Server  Side Request Forgery,19,Low,6.0,0.53,API,Remote code execution
2023,Weak Cryptography,34,Critical,4.1,0.8,Storage,Session hijacking
2022,Buffer Overflow,24,Low,9.0,0.82,Router,Privilege escalation   Denial    Service
2023,Race Condition,12,High,4.5,0.87,Router,Remote code execution
2021,Information Disclosure,6,Medium,6.9,0.77,Server,Unauthorized access   System control
2022,Privilege Escalation,31,Low,6.8,0.51,API,Unauthorized access   System control
2022,Misconfiguration    Security Headers,21,Medium,4.2,0.82,Cameras,Data theft   Remote code execution
2023,Buffer Overflow,38,High,6.8,0.74,API,Unauthorized access   Data loss
2021,XML External Entity (XXE),8,Medium,8.0,0.72,Cameras,Unauthorized access   System control
2022,Insufficient Logging   Monitoring,35,Critical,9.3,0.97,Firmware,Data theft   Remote code execution
2023,Misconfiguration    Security Headers,22,High,4.5,0.75,Database,Sensitive data leak
2022,XML External Entity (XXE),16,High,4.6,0.62,IoT Devices,Sensitive data leak
2022,Cross  Site Request Forgery,25,Critical,7.2,0.55,Database,Data exposure
2022,Cross  Site Request Forgery,32,Medium,4.2,0.66,Web Application,Unauthorized access   Data loss
2022,Buffer Overflow,19,High,9.0,0.77,Database,Session hijacking
2021,Privilege Escalation,25,High,9.6,0.65,Web Application,Privilege escalation   Denial    Service
2021,Directory Traversal,19,Medium,7.1,0.58,Router,Data theft   Remote code execution
2021,Comm  Injection,19,Medium,8.9,0.77,IoT Devices,Sensitive data leak
2021,Misconfiguration    Security Headers,24,Low,6.2,0.79,API,Privilege escalation   Denial    Service
2022,SQL Injection,13,Critical,7.1,0.74,Web Application,Unauthorized access   System control
2022,Privilege Escalation,23,Critical,8.4,0.84,Switch,Session hijacking
2023,Remote File Inclusion,43,Critical,9.6,0.98,Database,Unauthorized access   Data loss
2023,SQL Injection,5,High,5.7,0.65,Web Application,Data theft   Remote code execution
2023,Privilege Escalation,38,Critical,4.4,0.81,Switch,Sensitive data leak
2021,Server  Side Request Forgery,46,High,9.6,0.72,Switch,Privilege escalation   Denial    Service
2022,Remote File Inclusion,47,Medium,4.7,0.62,Cameras,Sensitive data leak
2023,Remote File Inclusion,12,Critical,7.5,0.52,Server,Sensitive data leak
2023,SQL Injection,30,Medium,7.6,0.77,Workstation,System takeover   Privilege escalation
2021,Comm  Injection,9,Critical,9.7,0.92,Router,Data exposure
2022,Server  Side Request Forgery,44,Critical,9.5,0.85,Switch,Remote code execution
2023,Misconfiguration    Security Headers,39,High,5.0,0.84,Web Application,Data exposure
2022,Server  Side Request Forgery,38,Medium,4.5,0.86,Workstation,Privilege escalation   Denial    Service
2023,Path Traversal,17,Critical,4.5,0.66,IoT Devices,Remote code execution
2023,Improper Input Validation,47,Medium,8.4,0.6,Workstation,Data exposure
2023,Information Disclosure,37,Medium,8.9,0.99,Switch,Data exposure
2021,Insufficient Logging   Monitoring,40,High,4.4,0.78,Database,Unauthorized access   System control
2022,Cross  Site Scripting,8,Low,4.8,0.92,Firmware,Privilege escalation   Denial    Service
2023,Directory Traversal,33,Critical,4.8,0.88,Storage,Remote code execution
2023,XML External Entity (XXE),39,High,5.4,0.7,Server,Sensitive data leak
2022,Improper Input Validation,29,High,4.4,0.55,Web Application,Remote code execution
2021,Server  Side Request Forgery,17,High,6.0,0.62,Switch,Data theft   Remote code execution
2023,Weak Cryptography,47,Critical,9.6,0.55,Cameras,Remote code execution
2022,Improper Input Validation,33,Medium,5.0,0.93,Cameras,Sensitive data leak
2021,Path Traversal,2,Medium,4.7,0.96,Database,System takeover   Privilege escalation
2023,Path Traversal,48,Low,6.9,0.55,Cameras,Data theft   Remote code execution
2023,Race Condition,42,Critical,5.5,0.9,Firmware,Sensitive data leak
2023,Server  Side Request Forgery,6,High,8.5,0.96,Workstation,Sensitive data leak
2022,Weak Cryptography,13,Critical,6.6,0.81,Database,Detection delay   Long  term impact
2023,Cross  Site Scripting,34,Critical,6.3,0.73,Server,System takeover   Privilege escalation
2023,Improper Input Validation,1,Critical,8.4,0.76,Router,Data theft   Remote code execution
2022,SQL Injection,39,High,9.9,0.78,API,System takeover   Privilege escalation
2021,Server  Side Request Forgery,18,Medium,4.8,0.98,Database,Data exposure
2022,Buffer Overflow,22,Low,6.5,0.9,Cameras,Sensitive data leak
2021,Insecure Direct Object Reference,21,Critical,5.3,0.87,Workstation,Unauthorized access   System control
2022,Comm  Injection,48,Low,6.3,0.51,Database,Detection delay   Long  term impact
2023,Race Condition,8,High,4.4,0.54,Storage,Sensitive data leak
2021,Insecure Direct Object Reference,31,Low,5.3,0.53,Switch,Privilege escalation   Denial    Service
2022,XML External Entity (XXE),16,Medium,4.9,0.53,Storage,Session hijacking
2023,Buffer Overflow,43,Medium,9.2,0.96,Database,Data exposure
2021,SQL Injection,14,Critical,8.9,0.91,Database,Unauthorized access   System control
2021,Buffer Overflow,33,Medium,4.8,0.75,API,Unauthorized access   System control
2022,Directory Traversal,50,Medium,4.3,0.9,Web Application,Session hijacking
2021,XML External Entity (XXE),27,Critical,4.4,0.54,Router,Data theft   Remote code execution
2021,Authentication Bypass,24,Low,7.6,0.77,API,Unauthorized access   Data loss
2021,Improper Input Validation,25,High,6.7,0.8,Cameras,Sensitive data leak
2021,Insufficient Logging   Monitoring,43,Critical,8.6,0.68,API,Unauthorized access   System control
2021,Cross  Site Request Forgery,47,Medium,5.4,0.84,Cameras,Detection delay   Long  term impact
2021,Directory Traversal,18,High,4.8,0.72,Cameras,Data exposure
2021,Server  Side Request Forgery,17,Medium,5.9,0.73,Workstation,Detection delay   Long  term impact
2022,Directory Traversal,23,High,4.9,0.91,Cameras,System takeover   Privilege escalation
2022,Authentication Bypass,35,High,4.5,0.75,API,Sensitive data leak
2022,Remote File Inclusion,48,High,6.5,0.88,Workstation,Data exposure
2023,Directory Traversal,38,Medium,6.1,0.91,Web Application,Sensitive data leak
2022,Weak Cryptography,1,Critical,4.7,0.72,API,Detection delay   Long  term impact
2021,Insecure Deserialization,11,Critical,8.1,0.69,Workstation,Data theft   Remote code execution
2022,XML External Entity (XXE),4,Low,6.9,0.98,Cameras,Data exposure
2021,Path Traversal,3,High,7.3,0.61,Firmware,Unauthorized access   Data loss
2021,XML External Entity (XXE),48,Low,8.1,0.9,Server,Privilege escalation   Denial    Service
2021,Cross  Site Scripting,48,Medium,5.0,0.64,Firmware,Detection delay   Long  term impact
2023,Cross  Site Scripting,45,Medium,8.2,0.95,API,Session hijacking
2021,Server  Side Request Forgery,32,Medium,7.5,0.8,Switch,Sensitive data leak
2023,Comm  Injection,37,Low,5.8,0.79,Firmware,System takeover   Privilege escalation
2022,XML External Entity (XXE),15,High,7.8,0.73,Server,Data exposure
2023,Misconfiguration    Security Headers,23,Critical,9.8,0.91,API,Sensitive data leak
2023,XML External Entity (XXE),21,High,4.3,0.69,Firmware,Data exposure
2023,Improper Input Validation,15,High,9.8,0.71,Server,Remote code execution
2021,Path Traversal,43,Critical,4.1,0.76,Server,System takeover   Privilege escalation
2022,Misconfiguration    Security Headers,50,Critical,6.1,0.61,Server,Data theft   Remote code execution
2022,SQL Injection,41,Critical,5.4,0.63,API,Unauthorized access   System control
2023,Remote File Inclusion,11,High,7.4,0.73,Router,Privilege escalation   Denial    Service
2023,Information Disclosure,29,Low,7.3,0.66,API,Unauthorized access   System control
2021,Comm  Injection,21,Low,4.2,0.74,Web Application,Sensitive data leak
2021,Buffer Overflow,4,Medium,6.5,0.6,Web Application,Unauthorized access   System control
2022,Directory Traversal,35,High,4.9,0.63,Cameras,Data theft   Remote code execution
2021,Insecure Direct Object Reference,37,High,8.8,0.6,API,Sensitive data leak
2021,Insufficient Logging   Monitoring,43,Low,7.7,0.59,Cameras,Privilege escalation   Denial    Service
2021,Privilege Escalation,3,Critical,6.8,0.82,Switch,Detection delay   Long  term impact
2021,Insecure Direct Object Reference,26,Medium,6.4,0.99,Workstation,Privilege escalation   Denial    Service
2021,Improper Input Validation,1,High,7.5,0.6,API,Unauthorized access   Data loss
2021,Information Disclosure,26,Medium,6.3,0.8,API,Privilege escalation   Denial    Service
2022,Insufficient Logging   Monitoring,24,Medium,6.7,0.66,Database,Remote code execution
2023,Authentication Bypass,13,Low,5.3,0.94,Database,Unauthorized access   System control
2021,Insufficient Logging   Monitoring,40,High,6.3,0.73,Firmware,Detection delay   Long  term impact
2022,Race Condition,34,High,7.6,0.75,Cameras,Detection delay   Long  term impact
2023,Server  Side Request Forgery,44,Low,4.1,0.97,API,Unauthorized access   System control
2023,Race Condition,45,Medium,5.9,0.72,Web Application,Sensitive data leak
2023,Insufficient Logging   Monitoring,38,Critical,4.8,0.83,Router,Unauthorized access   Data loss
2023,Directory Traversal,37,Medium,4.9,0.86,IoT Devices,System takeover   Privilege escalation
2022,Cross  Site Request Forgery,32,High,7.0,0.88,Cameras,Remote code execution
2022,XML External Entity (XXE),21,High,8.4,0.63,Cameras,Data exposure
2022,Path Traversal,38,High,6.7,0.65,API,Unauthorized access   Data loss
2022,Directory Traversal,12,Critical,9.2,0.63,Switch,Detection delay   Long  term impact
2023,Insufficient Logging   Monitoring,12,Low,4.5,0.81,Database,System takeover   Privilege escalation
2022,Cross  Site Scripting,39,Low,6.5,0.77,Web Application,Remote code execution
2022,Insufficient Logging   Monitoring,29,Critical,8.3,0.58,Web Application,Privilege escalation   Denial    Service
2021,Race Condition,2,Medium,6.8,0.64,API,Detection delay   Long  term impact
2023,Privilege Escalation,13,Low,6.2,0.97,Cameras,Session hijacking
2023,Buffer Overflow,25,High,8.4,0.62,Workstation,Sensitive data leak
2022,Information Disclosure,34,Medium,5.8,0.88,Firmware,Remote code execution
2022,Remote File Inclusion,2,Low,9.6,0.97,Web Application,Privilege escalation   Denial    Service
2021,Information Disclosure,10,Low,5.5,0.67,Web Application,Session hijacking
2023,Misconfiguration    Security Headers,45,Medium,8.6,0.57,Database,Unauthorized access   System control
2023,Path Traversal,13,Critical,5.9,0.67,Server,Data theft   Remote code execution
2022,Comm  Injection,38,Low,7.9,0.81,Firmware,Data exposure
2023,Improper Input Validation,36,Low,5.9,0.95,Web Application,System takeover   Privilege escalation
2022,Remote File Inclusion,13,High,8.6,0.74,API,Sensitive data leak
2021,Misconfiguration    Security Headers,43,High,6.6,0.71,API,Remote code execution
2021,Insecure Direct Object Reference,43,Medium,5.3,0.57,Cameras,System takeover   Privilege escalation
2023,Privilege Escalation,47,Low,6.7,0.72,API,System takeover   Privilege escalation
2022,Authentication Bypass,48,High,6.1,0.73,Firmware,Session hijacking
2022,Misconfiguration    Security Headers,36,High,10.0,0.96,Router,Detection delay   Long  term impact
2023,Remote File Inclusion,19,Low,6.0,0.93,Firmware,Data exposure
2021,Buffer Overflow,44,High,8.2,0.61,IoT Devices,Privilege escalation   Denial    Service
2023,Server  Side Request Forgery,11,High,9.0,0.98,Workstation,Unauthorized access   Data loss
2021,Cross  Site Request Forgery,19,Critical,8.2,0.55,Router,Detection delay   Long  term impact
2022,Insecure Direct Object Reference,15,Critical,4.3,0.6,Switch,Data exposure
2021,Privilege Escalation,47,High,7.6,0.86,Storage,Remote code execution
2023,Race Condition,41,Low,8.8,0.83,Database,Data exposure
2021,Authentication Bypass,32,High,5.9,0.98,Server,System takeover   Privilege escalation
2021,XML External Entity (XXE),30,Critical,9.3,0.59,API,Session hijacking
2022,Authentication Bypass,36,Medium,8.5,0.74,Workstation,Sensitive data leak
2023,Privilege Escalation,38,Low,6.2,0.75,API,System takeover   Privilege escalation
2021,Buffer Overflow,12,Critical,4.4,0.68,Router,Data exposure
2023,SQL Injection,47,High,4.4,0.51,Server,Sensitive data leak
2022,Privilege Escalation,4,Critical,7.6,0.71,Server,Remote code execution
2022,SQL Injection,24,Medium,7.9,0.58,Cameras,Privilege escalation   Denial    Service
2023,Improper Input Validation,23,Critical,8.5,0.68,Web Application,Data exposure
2021,Cross  Site Request Forgery,10,Critical,7.3,0.93,Database,System takeover   Privilege escalation
2022,XML External Entity (XXE),14,High,8.7,0.89,IoT Devices,System takeover   Privilege escalation
2022,SQL Injection,45,Low,9.0,0.78,Server,Sensitive data leak
2021,Comm  Injection,38,Medium,7.3,0.64,Web Application,Unauthorized access   Data loss
2022,Directory Traversal,41,Critical,8.6,0.85,Workstation,Detection delay   Long  term impact
2022,Comm  Injection,16,High,9.1,0.71,Server,Data theft   Remote code execution
2023,Misconfiguration    Security Headers,34,Medium,6.8,0.78,Storage,Sensitive data leak
2021,Authentication Bypass,42,High,8.4,0.67,Cameras,Data exposure
2021,Comm  Injection,13,Critical,6.7,0.96,Router,Privilege escalation   Denial    Service
2023,Remote File Inclusion,15,Low,9.0,0.93,Server,Unauthorized access   Data loss
2022,Insecure Deserialization,29,Low,6.5,0.53,Database,System takeover   Privilege escalation
2021,SQL Injection,32,High,6.5,0.73,Database,Session hijacking
2023,Comm  Injection,49,Low,5.5,0.92,IoT Devices,Remote code execution
2021,Insufficient Logging   Monitoring,32,Medium,4.3,0.53,IoT Devices,Remote code execution
2023,Insecure Deserialization,34,Low,6.9,0.93,API,Privilege escalation   Denial    Service
2023,Privilege Escalation,50,Medium,6.2,0.74,API,Privilege escalation   Denial    Service
2021,Directory Traversal,38,High,7.6,0.64,Database,Unauthorized access   Data loss
2023,Insecure Deserialization,42,High,4.8,0.77,Server,Data theft   Remote code execution
2021,SQL Injection,44,Critical,7.7,0.71,Workstation,Session hijacking
2022,Privilege Escalation,33,High,9.8,0.65,Web Application,Unauthorized access   System control
2023,Insufficient Logging   Monitoring,6,High,9.7,0.59,Cameras,Sensitive data leak
2021,Remote File Inclusion,18,Low,7.8,0.54,Database,Session hijacking
2022,Improper Input Validation,37,Critical,7.9,0.67,Workstation,Unauthorized access   Data loss
2023,Insecure Direct Object Reference,17,High,5.5,0.83,Server,Session hijacking
2023,Misconfiguration    Security Headers,29,High,5.0,0.71,Workstation,Privilege escalation   Denial    Service
2021,Misconfiguration    Security Headers,32,Low,6.7,0.93,Web Application,System takeover   Privilege escalation
2021,Path Traversal,34,High,8.6,0.93,API,Session hijacking
2021,Server  Side Request Forgery,48,Low,8.5,0.96,Workstation,Unauthorized access   Data loss
2023,Insufficient Logging   Monitoring,16,Medium,7.6,0.67,Web Application,Data exposure
2023,Insecure Deserialization,28,Medium,5.9,0.98,Server,Sensitive data leak
2021,Server  Side Request Forgery,31,Critical,5.2,0.61,Router,Privilege escalation   Denial    Service
2021,Information Disclosure,24,Low,7.4,0.85,Router,System takeover   Privilege escalation
2023,Improper Input Validation,8,Medium,4.5,0.81,Switch,Data theft   Remote code execution
2022,XML External Entity (XXE),27,Critical,4.0,0.76,Database,Unauthorized access   System control
2022,Insecure Deserialization,31,Critical,8.0,0.72,Web Application,Unauthorized access   Data loss
2022,Insecure Deserialization,19,Low,4.6,0.8,Cameras,Detection delay   Long  term impact
2021,Server  Side Request Forgery,5,Critical,4.4,0.57,Firmware,Data theft   Remote code execution
2022,Insecure Deserialization,30,Low,5.5,0.56,Switch,Data exposure
2021,Cross  Site Scripting,4,Critical,8.8,0.91,Storage,Unauthorized access   Data loss
2023,Cross  Site Request Forgery,17,Critical,6.8,0.94,Storage,Data theft   Remote code execution
2021,Weak Cryptography,40,Low,7.9,0.78,Storage,System takeover   Privilege escalation
2023,Cross  Site Request Forgery,17,Low,4.7,0.68,Server,System takeover   Privilege escalation
2023,Improper Input Validation,7,Critical,4.8,0.51,Database,Session hijacking
2021,Cross  Site Scripting,30,Medium,7.4,0.84,Firmware,Remote code execution
2021,Comm  Injection,20,Critical,7.5,0.96,Cameras,Privilege escalation   Denial    Service
2021,Weak Cryptography,2,Critical,7.5,0.92,Database,Unauthorized access   System control
2021,Cross  Site Request Forgery,16,Medium,5.9,0.67,Router,Unauthorized access   Data loss
2023,Cross  Site Scripting,28,Medium,6.8,0.83,Cameras,System takeover   Privilege escalation
2022,Information Disclosure,25,Low,9.2,0.71,Database,Detection delay   Long  term impact
2023,Path Traversal,34,Medium,4.3,0.63,Workstation,Session hijacking
2021,Weak Cryptography,10,High,9.9,0.95,Database,Unauthorized access   System control
2023,Weak Cryptography,39,Low,7.1,0.91,Server,Sensitive data leak
2021,Race Condition,27,Medium,7.6,0.99,IoT Devices,System takeover   Privilege escalation
2022,Buffer Overflow,45,Medium,6.3,0.87,Web Application,Sensitive data leak
2023,Race Condition,31,Medium,9.7,0.65,Storage,Detection delay   Long  term impact
2023,Directory Traversal,12,Medium,6.3,0.67,IoT Devices,Privilege escalation   Denial    Service
2023,Insufficient Logging   Monitoring,41,Critical,6.9,0.86,Server,Unauthorized access   System control
2021,Remote File Inclusion,3,High,5.8,0.5,Firmware,Session hijacking
2023,Directory Traversal,4,Low,9.5,0.94,Firmware,Session hijacking
2022,Cross  Site Scripting,50,Low,9.8,0.98,Cameras,Data exposure
2021,Buffer Overflow,47,High,9.6,0.67,IoT Devices,Data theft   Remote code execution
2022,Privilege Escalation,15,Medium,5.8,0.54,Switch,Sensitive data leak
2022,Directory Traversal,37,Low,6.7,0.74,Cameras,Unauthorized access   System control
2022,Remote File Inclusion,7,Low,6.5,0.64,Workstation,Remote code execution
2022,Directory Traversal,10,Critical,4.9,0.68,Server,Remote code execution
2022,SQL Injection,10,Low,8.8,0.92,API,Unauthorized access   System control
2022,Remote File Inclusion,13,High,6.7,0.86,Web Application,System takeover   Privilege escalation
2022,Cross  Site Request Forgery,18,Medium,9.5,0.82,Workstation,Data exposure
2021,Remote File Inclusion,31,High,6.8,0.99,Database,Detection delay   Long  term impact
2021,Insecure Direct Object Reference,22,Critical,9.3,0.68,Storage,Data exposure
2022,Privilege Escalation,33,High,7.1,0.75,Storage,Data exposure
2021,Information Disclosure,37,Low,7.8,0.61,IoT Devices,Data theft   Remote code execution
2023,XML External Entity (XXE),48,High,4.9,0.6,Server,Data exposure
2023,SQL Injection,42,High,7.7,0.91,API,Privilege escalation   Denial    Service
2022,Remote File Inclusion,21,High,8.9,0.66,Switch,Detection delay   Long  term impact
2023,Insecure Deserialization,38,Low,6.3,0.62,Switch,System takeover   Privilege escalation
2023,Buffer Overflow,34,Critical,5.6,0.99,Database,Data exposure
2021,Weak Cryptography,46,Critical,9.8,0.81,Switch,Unauthorized access   System control
2023,Cross  Site Scripting,29,Critical,8.5,0.58,Cameras,Unauthorized access   System control
2021,Weak Cryptography,7,High,4.6,0.92,Workstation,Remote code execution
2023,Comm  Injection,47,Critical,10.0,0.86,Workstation,Data theft   Remote code execution
2023,Misconfiguration    Security Headers,45,Low,4.1,0.69,Cameras,Remote code execution
2022,XML External Entity (XXE),23,Medium,9.3,0.82,Firmware,Sensitive data leak
2023,Insecure Deserialization,14,Critical,9.4,0.92,Switch,Privilege escalation   Denial    Service
2023,Improper Input Validation,39,High,9.3,0.62,Router,Session hijacking
2022,Improper Input Validation,24,High,4.9,0.71,Cameras,Unauthorized access   Data loss
2021,Cross  Site Scripting,38,High,4.0,0.63,Router,Unauthorized access   Data loss
2022,SQL Injection,14,Medium,9.2,0.73,Database,Sensitive data leak
2023,Weak Cryptography,33,Medium,8.1,0.5,Switch,Sensitive data leak
2023,Insufficient Logging   Monitoring,24,Low,4.2,0.7,Server,Data exposure
2021,SQL Injection,1,Medium,5.4,0.82,Storage,Unauthorized access   Data loss
2023,Cross  Site Scripting,42,Low,4.8,0.55,Firmware,Data exposure
2021,Directory Traversal,14,High,6.7,0.86,Storage,Sensitive data leak
2022,Cross  Site Scripting,19,Critical,5.1,0.62,IoT Devices,Session hijacking
2021,Directory Traversal,42,Low,6.4,0.9,Storage,Privilege escalation   Denial    Service
2023,Server  Side Request Forgery,9,Critical,4.3,0.91,Database,Unauthorized access   Data loss
2021,Insecure Direct Object Reference,32,Medium,9.9,0.77,Database,Detection delay   Long  term impact
2021,Path Traversal,15,Medium,7.9,0.88,Web Application,Detection delay   Long  term impact
2022,Authentication Bypass,43,Critical,5.1,0.64,Cameras,Data theft   Remote code execution
2022,Path Traversal,38,High,6.8,0.51,Cameras,Unauthorized access   Data loss
2021,Information Disclosure,32,High,4.2,0.73,IoT Devices,System takeover   Privilege escalation
2023,Authentication Bypass,12,High,8.6,0.7,IoT Devices,Remote code execution
2021,Misconfiguration    Security Headers,43,High,7.7,0.89,Storage,System takeover   Privilege escalation
2021,SQL Injection,24,Low,4.7,0.85,Switch,Data exposure
2021,Insecure Deserialization,26,Medium,6.1,0.85,Database,Sensitive data leak
2022,Remote File Inclusion,18,Critical,7.4,0.88,Firmware,Data theft   Remote code execution
2021,Buffer Overflow,18,Critical,8.4,0.89,Web Application,Session hijacking
2023,Remote File Inclusion,38,Low,9.6,0.9,IoT Devices,Data theft   Remote code execution
2021,Authentication Bypass,31,High,9.2,0.63,Firmware,Session hijacking
2022,XML External Entity (XXE),1,High,7.4,0.51,Cameras,System takeover   Privilege escalation
2022,Cross  Site Scripting,26,Critical,5.1,0.77,Firmware,Data exposure
2021,Misconfiguration    Security Headers,20,High,5.2,0.61,Web Application,Data exposure
2023,XML External Entity (XXE),38,Low,8.1,0.64,Database,Privilege escalation   Denial    Service
2022,Cross  Site Request Forgery,8,Low,7.8,0.52,Firmware,System takeover   Privilege escalation
2021,Misconfiguration    Security Headers,30,Low,6.3,0.62,Database,Sensitive data leak
2022,Cross  Site Scripting,14,Medium,4.6,0.79,API,Unauthorized access   System control
2022,Information Disclosure,46,High,4.8,0.76,Web Application,System takeover   Privilege escalation
2021,Remote File Inclusion,25,Critical,9.9,0.51,Web Application,Sensitive data leak
2022,Insecure Direct Object Reference,37,Medium,9.4,0.85,Storage,Sensitive data leak
2023,Remote File Inclusion,1,Critical,8.1,0.97,Storage,Detection delay   Long  term impact
2021,Improper Input Validation,17,Medium,9.0,0.53,IoT Devices,Remote code execution
